Pod,Node,Port,Mode,AllowedVlan,AccessVlan,Status,Speed
pod-1,node-101,eth1/33,trunk,,vlan-1,down,10G
pod-1,node-101,eth1/34,trunk,,vlan-1,down,10G
pod-1,node-101,eth1/1,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/2,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/3,trunk,,vlan-1,down,100G
pod-1,node-101,eth1/4,trunk,,vlan-1,down,100G
pod-1,node-101,eth1/5,trunk,,vlan-1,down,100G
pod-1,node-101,eth1/6,trunk,,vlan-1,down,100G
pod-1,node-101,eth1/7,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/8,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/9,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/10,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/11,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/12,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/13,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/14,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/15,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/16,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/17,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/18,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/19,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/20,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/21,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/22,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/23,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/24,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/25,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/26,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/27,trunk,,vlan-1,down,100G
pod-1,node-101,eth1/28,trunk,,vlan-1,down,100G
pod-1,node-101,eth1/29,trunk,,vlan-1,down,100G
pod-1,node-101,eth1/30,trunk,,vlan-1,down,100G
pod-1,node-101,eth1/31,trunk,,vlan-1,up,100G
pod-1,node-101,eth1/32,trunk,,vlan-1,up,100G
