Port,Mode,AllowedVlan,AccessVlan,Status,Speed
topology/pod-1/node-101/sys/phys-[eth1/33]/phys,trunk,,vlan-1,down,10G
topology/pod-1/node-101/sys/phys-[eth1/34]/phys,trunk,,vlan-1,down,10G
topology/pod-1/node-101/sys/phys-[eth1/1]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/2]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/3]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/4]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/5]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/6]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/7]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/8]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/9]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/10]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/11]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/12]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/13]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/14]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/15]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/16]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/17]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/18]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/19]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/20]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/21]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/22]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/23]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/24]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/25]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/26]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/27]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/28]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/29]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/30]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/31]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/32]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/33]/phys,trunk,,vlan-1,down,10G
topology/pod-1/node-102/sys/phys-[eth1/34]/phys,trunk,,vlan-1,down,10G
topology/pod-1/node-102/sys/phys-[eth1/1]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/2]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/3]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/4]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/5]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/6]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/7]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/8]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/9]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/10]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/11]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/12]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/13]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/14]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/15]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/16]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/17]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/18]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/19]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/20]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/21]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/22]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/23]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/24]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/25]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/26]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/27]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/28]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/29]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/30]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/31]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/32]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/33]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/34]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/35]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/36]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/37]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/38]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/39]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/40]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/41]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/42]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/43]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/44]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/45]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/46]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/47]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/48]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/49]/phys,trunk,"63,82,129-130,176,233,266",vlan-176,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/50]/phys,trunk,"63,82,129-130,176,233,266",vlan-176,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/51]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1101/sys/phys-[eth1/52]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1101/sys/phys-[eth1/53]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/54]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/1]/phys,trunk,"15,20-22,48,75,78,89,106,111-113,126,145,188,242-243,247-248",vlan-242,down,10G
